Schlüsselnummer;Name der Regionaleinheit;Stand Tagesdatum;Stand Uhrzeit;Stimmberechtigte;Wähler;Wahlbeteiligung in %;Veränderung der Wahlbeteiligung gegenüber 2018 in %-P.;abgegebene Erststimmen insgesamt 2023;abgegebene Erststimmen insgesamt 2018;gültige Erststimmen insgesamt 2023;gültige Erststimmen insgesamt 2018;ungültige Erststimmen 2023;ungültige Erststimmen 2018;abgegebene Zweitstimmen insgesamt 2023;abgegebene Zweitstimmen insgesamt 2018;gültige Zweitstimmen insgesamt 2023;gültige Zweitstimmen insgesamt 2018;ungültige Zweitstimmen 2023;ungültige Zweitstimmen 2018;abgegebene Gesamtstimmen insgesamt 2023;abgegebene Gesamtstimmen insgesamt 2018;gültige Gesamtstimmen insgesamt 2023;gültige Gesamtstimmen insgesamt 2018;ungültige Gesamtstimmen 2023;ungültige Gesamtstimmen 2018;Partei mit Erststimmenmehrheit;Bewerber mit Erststimmenmehrheit;Parteiname;Bewerber CSU;Erststimmen CSU 2023;Erststimmen CSU 2018;Zweitstimmen CSU 2023;Zweitstimmen CSU 2018; Gesamtstimmen CSU 2023;Gesamtstimmen CSU 2018;Parteiname;Bewerber GRÜNE;Erststimmen GRÜNE 2023;Erststimmen GRÜNE 2018;Zweitstimmen GRÜNE 2023;Zweitstimmen GRÜNE 2018; Gesamtstimmen GRÜNE 2023;Gesamtstimmen GRÜNE 2018;Parteiname;Bewerber FREIE WÄHLER;Erststimmen FREIE WÄHLER 2023;Erststimmen FREIE WÄHLER 2018;Zweitstimmen FREIE WÄHLER 2023;Zweitstimmen FREIE WÄHLER 2018; Gesamtstimmen FREIE WÄHLER 2023;Gesamtstimmen FREIE WÄHLER 2018;Parteiname;Bewerber AfD;Erststimmen AfD 2023;Erststimmen AfD 2018;Zweitstimmen AfD 2023;Zweitstimmen AfD 2018; Gesamtstimmen AfD 2023;Gesamtstimmen AfD 2018;Parteiname;Bewerber SPD;Erststimmen SPD 2023;Erststimmen SPD 2018;Zweitstimmen SPD 2023;Zweitstimmen SPD 2018; Gesamtstimmen SPD 2023;Gesamtstimmen SPD 2018;Parteiname;Bewerber FDP;Erststimmen FDP 2023;Erststimmen FDP 2018;Zweitstimmen FDP 2023;Zweitstimmen FDP 2018; Gesamtstimmen FDP 2023;Gesamtstimmen FDP 2018;Parteiname;Bewerber DIE LINKE;Erststimmen DIE LINKE 2023;Erststimmen DIE LINKE 2018;Zweitstimmen DIE LINKE 2023;Zweitstimmen DIE LINKE 2018; Gesamtstimmen DIE LINKE 2023;Gesamtstimmen DIE LINKE 2018;Parteiname;Bewerber BP;Erststimmen BP 2023;Erststimmen BP 2018;Zweitstimmen BP 2023;Zweitstimmen BP 2018; Gesamtstimmen BP 2023;Gesamtstimmen BP 2018;Parteiname;Bewerber ÖDP;Erststimmen ÖDP 2023;Erststimmen ÖDP 2018;Zweitstimmen ÖDP 2023;Zweitstimmen ÖDP 2018; Gesamtstimmen ÖDP 2023;Gesamtstimmen ÖDP 2018;Parteiname;Bewerber Die PARTEI;Erststimmen Die PARTEI 2023;Erststimmen Die PARTEI 2018;Zweitstimmen Die PARTEI 2023;Zweitstimmen Die PARTEI 2018; Gesamtstimmen Die PARTEI 2023;Gesamtstimmen Die PARTEI 2018;Parteiname;Bewerber Tierschutzpartei;Erststimmen Tierschutzpartei 2023;Erststimmen Tierschutzpartei 2018;Zweitstimmen Tierschutzpartei 2023;Zweitstimmen Tierschutzpartei 2018; Gesamtstimmen Tierschutzpartei 2023;Gesamtstimmen Tierschutzpartei 2018;Parteiname;Bewerber V-Partei³;Erststimmen V-Partei³ 2023;Erststimmen V-Partei³ 2018;Zweitstimmen V-Partei³ 2023;Zweitstimmen V-Partei³ 2018; Gesamtstimmen V-Partei³ 2023;Gesamtstimmen V-Partei³ 2018;Parteiname;Bewerber PdH;Erststimmen PdH 2023;Erststimmen PdH 2018;Zweitstimmen PdH 2023;Zweitstimmen PdH 2018; Gesamtstimmen PdH 2023;Gesamtstimmen PdH 2018;Parteiname;Bewerber dieBasis;Erststimmen dieBasis 2023;Erststimmen dieBasis 2018;Zweitstimmen dieBasis 2023;Zweitstimmen dieBasis 2018; Gesamtstimmen dieBasis 2023;Gesamtstimmen dieBasis 2018;Parteiname;Bewerber Volt;Erststimmen Volt 2023;Erststimmen Volt 2018;Zweitstimmen Volt 2023;Zweitstimmen Volt 2018; Gesamtstimmen Volt 2023;Gesamtstimmen Volt 2018;Parteiname;Bewerber Sonstige 2018;Erststimmen Sonstige 2018 2023;Erststimmen Sonstige 2018 2018;Zweitstimmen Sonstige 2018 2023;Zweitstimmen Sonstige 2018 2018; Gesamtstimmen Sonstige 2018 2023;Gesamtstimmen Sonstige 2018 2018;
101;München-Hadern;24.10.2023;13:00;98320;67564;68,7;-3,0;67535;72363;66782;71906;753;457;67536;72323;66612;71523;924;800;135071;144686;133394;143429;1677;1257;CSU;Eisenreich, Georg;CSU;Eisenreich, Georg;21657;20721;20464;19441;42121;40162;GRÜNE;Siekmann, Florian;18842;19312;18666;20204;37508;39516;FREIE WÄHLER;Bender-Schwering, Loraine;4482;4470;4910;4986;9392;9456;AfD;Unzner, Christian;5276;5153;5244;5117;10520;10270;SPD;Wenngatz, Micky;8002;9466;8186;9063;16188;18529;FDP;Reif, Laura;2593;5480;3056;5310;5649;10790;DIE LINKE;Utz, Erich;1250;3444;1294;3391;2544;6835;BP;Gafus, Mario;343;863;347;751;690;1614;ÖDP;Massonet, Dr. Stefan;1148;1316;1128;1080;2276;2396;Die PARTEI;Bauerfeind, Tobias;742;X;710;417;1452;417;Tierschutzpartei;Müller, Dr. Andrea;784;670;710;595;1494;1265;V-Partei³;-;X;139;160;142;160;281;PdH;Landgraf, Michael;235;X;251;145;486;145;dieBasis;Abdellatif, Firas;453;X;508;X;961;X;Volt;Ferraro, Massimo;975;X;978;X;1953;X;Sonstige 2018;-;X;872;X;881;X;1753;
102;München-Bogenhausen;24.10.2023;13:00;86064;60169;69,9;-3,2;60133;62607;59417;62223;716;384;60122;62576;59245;61937;877;639;120255;125183;118662;124160;1593;1023;CSU;Brannekämper, Robert;CSU;Brannekämper, Robert;19561;17936;18866;17167;38427;35103;GRÜNE;Sauer, Fabian;16374;16463;16038;17315;32412;33778;FREIE WÄHLER;Blasi, Martin;4160;4158;4336;3919;8496;8077;AfD;Rätscher, Christoph;4416;4217;4530;4146;8946;8363;SPD;Friedrich, Alexander;6371;8006;6789;7571;13160;15577;FDP;Ruoff, Dr. Michael;3931;6073;4051;6132;7982;12205;DIE LINKE;Schulz, Wolfgang;902;2299;934;2328;1836;4627;BP;Progl, Richard;296;828;266;636;562;1464;ÖDP;Gölzner, Steffen;972;1124;904;1009;1876;2133;Die PARTEI;Militzer, Roy;490;X;530;243;1020;243;Tierschutzpartei;Löbrich-Mannhart, Reinhild;527;X;562;440;1089;440;V-Partei³;Zacherl, Korbinian;105;203;117;126;222;329;PdH;Körbächer, Max;196;X;205;96;401;96;dieBasis;Schiemenz, Ulrike;402;X;398;X;800;X;Volt;Eisenmann, Philipp;714;X;719;X;1433;X;Sonstige 2018;-;X;916;X;809;X;1725;
103;München-Giesing;24.10.2023;13:00;123365;87696;71,1;-3,4;87659;91946;86724;91441;935;505;87659;91920;86343;91076;1316;844;175318;183866;173067;182517;2251;1349;GRÜNE;Demirel, Gülseren;CSU;Lorenz, Andreas;22497;20234;23278;21230;45775;41464;GRÜNE;Demirel, Gülseren;28285;28972;28463;29940;56748;58912;FREIE WÄHLER;Piazolo, Dr. Michael;6320;7868;5534;5485;11854;13353;AfD;Henkel, Uli;5889;5748;5794;5604;11683;11352;SPD;von Brunn, Florian;11397;11544;10278;11117;21675;22661;FDP;Sandt, Julika;5081;7815;5069;7586;10150;15401;DIE LINKE;Haslbeck, Franz;1684;4535;1959;4932;3643;9467;BP;Weiß, Georg;478;945;361;763;839;1708;ÖDP;Hamm, Verena;1533;1707;1555;1476;3088;3183;Die PARTEI;Erdrich, Katharina;987;672;1010;562;1997;1234;Tierschutzpartei;Weiser, Stephanie;853;717;865;722;1718;1439;V-Partei³;Simon, Anna;150;206;154;195;304;401;PdH;-;X;X;295;149;295;149;dieBasis;Katsigiannis, loannis;510;X;560;X;1070;X;Volt;Frankenreiter, Rose;1060;X;1168;X;2228;X;Sonstige 2018;-;X;478;X;1315;X;1793;
104;München-Milbertshofen;24.10.2023;13:00;106590;71157;66,8;-4,6;71142;77833;70401;77424;741;409;71118;77821;70163;77039;955;782;142260;155654;140564;154463;1696;1191;GRÜNE;Schulze, Katharina;CSU;Müller, Christine;16798;16128;17099;16182;33897;32310;GRÜNE;Schulze, Katharina;24877;27361;23097;25795;47974;53156;FREIE WÄHLER;Utz, Pia;4626;4247;4448;4374;9074;8621;AfD;Machyan, Jitka;4464;4657;4412;4672;8876;9329;SPD;Waldmann, Ruth;9069;10734;9577;10865;18646;21599;FDP;Kaiser-Steiner, Jennifer;4601;6720;4869;7122;9470;13842;DIE LINKE;Glauch, Dr. Theo;1881;3891;1726;3979;3607;7870;BP;Settele, Angela;324;632;279;543;603;1175;ÖDP;Berndl, Andreas;1008;1070;1078;1232;2086;2302;Die PARTEI;Fiddicke, Sebastian;862;461;809;441;1671;902;Tierschutzpartei;Kreidemeier, Thomas;796;675;738;558;1534;1233;V-Partei³;-;X;128;163;160;163;288;PdH;-;X;X;309;140;309;140;dieBasis;-;X;X;448;X;448;X;Volt;Raabe, Maria;1095;X;1111;X;2206;X;Sonstige 2018;-;X;720;X;976;X;1696;
105;München-Moosach;24.10.2023;13:00;95838;63781;66,6;-3,3;63774;67389;63126;66978;648;411;63753;67418;62796;66722;957;696;127527;134807;125922;133700;1605;1107;CSU;Dietrich, Dr. Alexander;CSU;Dietrich, Dr. Alexander;20186;17509;19260;17831;39446;35340;GRÜNE;Adjei, Benjamin;16912;17572;16622;18333;33534;35905;FREIE WÄHLER;Springer, Linus;4966;4463;5381;4694;10347;9157;AfD;Reuter, Andreas;5478;5451;5367;5270;10845;10721;SPD;Stachowitz, Diana;7664;9997;7371;8453;15035;18450;FDP;Meyer, Felix;2948;5300;3403;5228;6351;10528;DIE LINKE;Seger, Achim;1057;2781;1136;2940;2193;5721;BP;Dorn, Hubert;402;885;378;791;780;1676;ÖDP;Kahl, Veronika;1078;1424;1100;1216;2178;2640;Die PARTEI;Werner, Sabrina;684;307;678;317;1362;624;Tierschutzpartei;Krämer, Michael;657;521;684;538;1341;1059;V-Partei³;Koch, Felicitas;84;141;113;156;197;297;PdH;-;X;X;208;121;208;121;dieBasis;Hartmann, Leander;360;X;396;X;756;X;Volt;Schielein, Mika;650;X;699;X;1349;X;Sonstige 2018;-;X;627;X;834;X;1461;
106;München-Pasing;24.10.2023;13:00;113745;80636;70,9;-3,7;80612;81374;79727;80903;885;471;80605;81345;79398;80420;1207;925;161217;162719;159125;161323;2092;1396;CSU;Schmid, Josef;CSU;Schmid, Josef;27065;24902;25897;23468;52962;48370;GRÜNE;Post, Julia;20541;22622;21045;22374;41586;44996;FREIE WÄHLER;Weigand, Werner;5930;4757;6666;5350;12596;10107;AfD;Walbrunn, Markus;6372;5806;6241;5759;12613;11565;SPD;Weitzel, Katja;9548;10094;8964;9957;18512;20051;FDP;Duin, Albert;3937;6093;4092;6100;8029;12193;DIE LINKE;Nitschmann, Michael;1065;3138;1206;2914;2271;6052;BP;Siegle, Michael;323;1013;378;904;701;1917;ÖDP;Sauerer, Johann;1577;1682;1425;1441;3002;3123;Die PARTEI;Koller, Regina;826;X;748;366;1574;366;Tierschutzpartei;Wittmann, Dr. Susanne;978;X;836;548;1814;548;V-Partei³;Wiedorn, Tobias;122;234;164;169;286;403;PdH;-;X;X;271;119;271;119;dieBasis;Reimer, Ulrich;475;X;531;X;1006;X;Volt;Scharf, Tim;968;X;934;X;1902;X;Sonstige 2018;-;X;562;X;951;X;1513;
107;München-Ramersdorf;24.10.2023;13:00;105532;69889;66,2;-3,3;69874;72594;69110;72147;764;447;69848;72557;68679;71759;1169;798;139722;145151;137789;143906;1933;1245;CSU;Blume, Markus;CSU;Blume, Markus;24048;21934;23094;21250;47142;43184;GRÜNE;Kurz, Sanne;15752;17600;16616;18191;32368;35791;FREIE WÄHLER;Schabl, Rudolf;5537;4976;5729;5119;11266;10095;AfD;Dierkes, Rene;6157;5643;5951;5651;12108;11294;SPD;Rinderspacher, Markus;9324;10097;8295;9178;17619;19275;FDP;Hoppe, Kerry;3042;5106;3300;5329;6342;10435;DIE LINKE;Braaz, Rita;1096;2529;1093;2734;2189;5263;BP;Fritsch, Georg;496;1017;425;953;921;1970;ÖDP;Fuchs, Beate;1137;1362;1186;1180;2323;2542;Die PARTEI;Mebes, Anja;673;375;694;391;1367;766;Tierschutzpartei;Holzer, Michael;683;559;681;517;1364;1076;V-Partei³;Klopstock, Simon;126;163;131;161;257;324;PdH;Meindl, Benjamin;289;X;257;130;546;130;dieBasis;-;X;X;455;X;455;X;Volt;Mihalyi, Daniel;750;X;772;X;1522;X;Sonstige 2018;-;X;786;X;975;X;1761;
108;München-Schwabing;24.10.2023;13:00;90960;63544;69,9;-4,5;63504;68564;62882;68278;622;286;63498;68536;62655;67950;843;586;127002;137100;125537;136228;1465;872;GRÜNE;Hierneis, Christian;CSU;Spaenle, Dr. Ludwig;15891;14089;15887;14401;31778;28490;GRÜNE;Hierneis, Christian;21650;23797;21398;23844;43048;47641;FREIE WÄHLER;Engler-Hamm, Dr. Horst;3782;3092;3833;3285;7615;6377;AfD;Köppl, Martin;3500;3341;3459;3394;6959;6735;SPD;Mentrup, Lars;7121;9160;7286;8175;14407;17335;FDP;Heubisch, Dr. Wolfgang;5854;8862;5716;8361;11570;17223;DIE LINKE;Dietrich, Michaela;1339;2909;1222;3268;2561;6177;BP;Progl, Alexandra;187;429;202;393;389;822;ÖDP;Ruff, Tobias;1072;1050;900;1071;1972;2121;Die PARTEI;Weiss, Fabian;560;447;585;339;1145;786;Tierschutzpartei;Krämer, Ralf;411;X;442;308;853;308;V-Partei³;Mohrich, Benjamin;101;162;117;140;218;302;PdH;-;X;X;232;115;232;115;dieBasis;Schürer, Michael;310;X;317;X;627;X;Volt;Gallersdörfer, Felix;1104;X;1059;X;2163;X;Sonstige 2018;-;X;940;X;856;X;1796;
109;München-Mitte;24.10.2023;13:00;89670;64760;72,2;-3,5;64734;67199;64189;66882;545;317;64730;67188;63960;66689;770;499;129464;134387;128149;133571;1315;816;GRÜNE;Hartmann, Ludwig;CSU;Hornberger, Susanne;11171;10532;11562;10203;22733;20735;GRÜNE;Hartmann, Ludwig;28607;30369;27891;28542;56498;58911;FREIE WÄHLER;Lettenmayer, Richard;2879;2657;2963;2691;5842;5348;AfD;Baack, Thomas;2909;2636;2890;2616;5799;5252;SPD;Di Benedetto, Daniela;7334;7297;7828;7905;15162;15202;FDP;Seehofer, Susanne;5020;6092;4380;6266;9400;12358;DIE LINKE;Rupp, Adelheid;2023;4614;1995;4877;4018;9491;BP;Gebhard, Julia;190;535;181;410;371;945;ÖDP;von Birgelen, Klaus;1026;1068;1064;1032;2090;2100;Die PARTEI;Drabinski, Philipp;893;X;904;394;1797;394;Tierschutzpartei;Wandinger-Nolen, Anita;474;X;497;380;971;380;V-Partei³;Selbmann, Angelika;105;235;123;154;228;389;PdH;-;X;X;196;126;196;126;dieBasis;Langhorst, Tomas;397;X;403;X;800;X;Volt;Ortiz Barranco, Javier;1161;X;1083;X;2244;X;Sonstige 2018;-;X;847;X;1093;X;1940;
110;Altötting;24.10.2023;13:00;81837;58056;70,9;+2,4;58055;56649;57422;56044;633;605;58055;56649;57273;55705;782;944;116110;113298;114695;111749;1415;1549;CSU;Huber, Martin;CSU;Huber, Martin;23671;23585;22066;25692;45737;49277;GRÜNE;Áldozó, Peter;5155;6087;5275;6711;10430;12798;FREIE WÄHLER;Fischer, Mary;9212;7959;11186;5467;20398;13426;AfD;Schwembauer, Thomas;10019;6087;9727;6002;19746;12089;SPD;Gastel, Jürgen;3468;5621;3307;5147;6775;10768;FDP;Stiegler, Stefanie;1317;2099;1465;1781;2782;3880;DIE LINKE;Schnitker, Michael;479;1337;570;1396;1049;2733;BP;Steiger, Günther;661;1357;601;1367;1262;2724;ÖDP;Antwerpen, Martin;1530;1317;1150;672;2680;1989;Die PARTEI;Bürgel, Simon;567;X;446;312;1013;312;Tierschutzpartei;Sellner, Anita;563;X;478;372;1041;372;V-Partei³;Hauschild, Brigitte;167;X;108;115;275;115;PdH;-;X;X;96;55;96;55;dieBasis;Schiffbahn, Hans;613;X;619;X;1232;X;Volt;-;X;X;179;X;179;X;Sonstige 2018;-;X;595;X;616;X;1211;
