Schlüsselnummer;Name der Regionaleinheit;Stand Tagesdatum;Stand Uhrzeit;Stimmberechtigte;Wähler;Wahlbeteiligung in %;Veränderung der Wahlbeteiligung gegenüber 2013 in %-P.;abgegebene Erststimmen insgesamt 2018;abgegebene Erststimmen insgesamt 2013;gültige Erststimmen insgesamt 2018;gültige Erststimmen insgesamt 2013;ungültige Erststimmen 2018;ungültige Erststimmen 2013;abgegebene Zweitstimmen insgesamt 2018;abgegebene Zweitstimmen insgesamt 2013;gültige Zweitstimmen insgesamt 2018;gültige Zweitstimmen insgesamt 2013;ungültige Zweitstimmen 2018;ungültige Zweitstimmen 2013;abgegebene Gesamtstimmen insgesamt 2018;abgegebene Gesamtstimmen insgesamt 2013;gültige Gesamtstimmen insgesamt 2018;gültige Gesamtstimmen insgesamt 2013;ungültige Gesamtstimmen 2018;ungültige Gesamtstimmen 2013;Partei mit Erststimmenmehrheit;Bewerber mit Erststimmenmehrheit;Parteiname;Bewerber CSU;Erststimmen CSU 2018;Erststimmen CSU 2013;Zweitstimmen CSU 2018;Zweitstimmen CSU 2013; Gesamtstimmen CSU 2018;Gesamtstimmen CSU 2013;Parteiname;Bewerber SPD;Erststimmen SPD 2018;Erststimmen SPD 2013;Zweitstimmen SPD 2018;Zweitstimmen SPD 2013; Gesamtstimmen SPD 2018;Gesamtstimmen SPD 2013;Parteiname;Bewerber FREIE WÄHLER;Erststimmen FREIE WÄHLER 2018;Erststimmen FREIE WÄHLER 2013;Zweitstimmen FREIE WÄHLER 2018;Zweitstimmen FREIE WÄHLER 2013; Gesamtstimmen FREIE WÄHLER 2018;Gesamtstimmen FREIE WÄHLER 2013;Parteiname;Bewerber GRÜNE;Erststimmen GRÜNE 2018;Erststimmen GRÜNE 2013;Zweitstimmen GRÜNE 2018;Zweitstimmen GRÜNE 2013; Gesamtstimmen GRÜNE 2018;Gesamtstimmen GRÜNE 2013;Parteiname;Bewerber FDP;Erststimmen FDP 2018;Erststimmen FDP 2013;Zweitstimmen FDP 2018;Zweitstimmen FDP 2013; Gesamtstimmen FDP 2018;Gesamtstimmen FDP 2013;Parteiname;Bewerber DIE LINKE;Erststimmen DIE LINKE 2018;Erststimmen DIE LINKE 2013;Zweitstimmen DIE LINKE 2018;Zweitstimmen DIE LINKE 2013; Gesamtstimmen DIE LINKE 2018;Gesamtstimmen DIE LINKE 2013;Parteiname;Bewerber BP;Erststimmen BP 2018;Erststimmen BP 2013;Zweitstimmen BP 2018;Zweitstimmen BP 2013; Gesamtstimmen BP 2018;Gesamtstimmen BP 2013;Parteiname;Bewerber ÖDP;Erststimmen ÖDP 2018;Erststimmen ÖDP 2013;Zweitstimmen ÖDP 2018;Zweitstimmen ÖDP 2013; Gesamtstimmen ÖDP 2018;Gesamtstimmen ÖDP 2013;Parteiname;Bewerber PIRATEN;Erststimmen PIRATEN 2018;Erststimmen PIRATEN 2013;Zweitstimmen PIRATEN 2018;Zweitstimmen PIRATEN 2013; Gesamtstimmen PIRATEN 2018;Gesamtstimmen PIRATEN 2013;Parteiname;Bewerber DIE FRANKEN;Erststimmen DIE FRANKEN 2018;Erststimmen DIE FRANKEN 2013;Zweitstimmen DIE FRANKEN 2018;Zweitstimmen DIE FRANKEN 2013; Gesamtstimmen DIE FRANKEN 2018;Gesamtstimmen DIE FRANKEN 2013;Parteiname;Bewerber AfD;Erststimmen AfD 2018;Erststimmen AfD 2013;Zweitstimmen AfD 2018;Zweitstimmen AfD 2013; Gesamtstimmen AfD 2018;Gesamtstimmen AfD 2013;Parteiname;Bewerber LKR;Erststimmen LKR 2018;Erststimmen LKR 2013;Zweitstimmen LKR 2018;Zweitstimmen LKR 2013; Gesamtstimmen LKR 2018;Gesamtstimmen LKR 2013;Parteiname;Bewerber mut;Erststimmen mut 2018;Erststimmen mut 2013;Zweitstimmen mut 2018;Zweitstimmen mut 2013; Gesamtstimmen mut 2018;Gesamtstimmen mut 2013;Parteiname;Bewerber Die Humanisten;Erststimmen Die Humanisten 2018;Erststimmen Die Humanisten 2013;Zweitstimmen Die Humanisten 2018;Zweitstimmen Die Humanisten 2013; Gesamtstimmen Die Humanisten 2018;Gesamtstimmen Die Humanisten 2013;Parteiname;Bewerber Die PARTEI;Erststimmen Die PARTEI 2018;Erststimmen Die PARTEI 2013;Zweitstimmen Die PARTEI 2018;Zweitstimmen Die PARTEI 2013; Gesamtstimmen Die PARTEI 2018;Gesamtstimmen Die PARTEI 2013;Parteiname;Bewerber Gesundheitsforschung;Erststimmen Gesundheitsforschung 2018;Erststimmen Gesundheitsforschung 2013;Zweitstimmen Gesundheitsforschung 2018;Zweitstimmen Gesundheitsforschung 2013; Gesamtstimmen Gesundheitsforschung 2018;Gesamtstimmen Gesundheitsforschung 2013;Parteiname;Bewerber Tierschutzpartei;Erststimmen Tierschutzpartei 2018;Erststimmen Tierschutzpartei 2013;Zweitstimmen Tierschutzpartei 2018;Zweitstimmen Tierschutzpartei 2013; Gesamtstimmen Tierschutzpartei 2018;Gesamtstimmen Tierschutzpartei 2013;Parteiname;Bewerber V-Partei³;Erststimmen V-Partei³ 2018;Erststimmen V-Partei³ 2013;Zweitstimmen V-Partei³ 2018;Zweitstimmen V-Partei³ 2013; Gesamtstimmen V-Partei³ 2018;Gesamtstimmen V-Partei³ 2013;Parteiname;Bewerber Sonstige 2013;Erststimmen Sonstige 2013 2018;Erststimmen Sonstige 2013 2013;Zweitstimmen Sonstige 2013 2018;Zweitstimmen Sonstige 2013 2013; Gesamtstimmen Sonstige 2013 2018;Gesamtstimmen Sonstige 2013 2013;
101;München-Hadern;29.10.2018;11:27;100904;72374;71,7;+9,1;72363;64124;71906;63229;457;895;72323;64086;71523;63204;800;882;144686;128210;143429;126433;1257;1777;CSU;Eisenreich, Georg;CSU;Eisenreich, Georg;20721;25069;19441;24922;40162;49991;SPD;Wenngatz, Micky;9466;19368;9063;21469;18529;40837;FREIE WÄHLER;Springer, Linus;4470;3024;4986;2679;9456;5703;GRÜNE;Siekmann, Florian;19312;6517;20204;5974;39516;12491;FDP;Böcking, Sabrina;5480;2700;5310;2866;10790;5566;DIE LINKE;Seidel, Wolfgang;3444;1556;3391;1303;6835;2859;BP;Müller, Alexander;863;1627;751;1025;1614;2652;ÖDP;Schabl, Michael;1316;1129;1080;1011;2396;2140;PIRATEN;Babelotzky, Jonathan;485;1561;383;1318;868;2879;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Bößenecker, Misha;5153;X;5117;X;10270;X;LKR;Werner, Dr. Klaus-Jürgen;59;X;48;X;107;X;mut;Ellen, Marion;328;X;366;X;694;X;Die Humanisten;-;X;X;145;X;145;X;Die PARTEI;-;X;X;417;X;417;X;Gesundheitsforschung;-;X;X;84;X;84;X;Tierschutzpartei;Jannicke, Meike;670;X;595;X;1265;X;V-Partei³;Roger, Aneta;139;X;142;X;281;X;Sonstige 2013;-;X;678;X;637;X;1315;
102;München-Bogenhausen;29.10.2018;11:27;85705;62632;73,1;+9,9;62607;53974;62223;53253;384;721;62576;53966;61937;53251;639;715;125183;107940;124160;106504;1023;1436;CSU;Brannekämper, Robert;CSU;Brannekämper, Robert;17936;21641;17167;21328;35103;42969;SPD;Malm, Dr. Mike;8006;14792;7571;16838;15577;31630;FREIE WÄHLER;Blasi, Martin;4158;2341;3919;2172;8077;4513;GRÜNE;Baier, Andreas;16463;5857;17315;5128;33778;10985;FDP;Neff, Gabriele;6073;3749;6132;3656;12205;7405;DIE LINKE;Dogan, Erol;2299;1150;2328;927;4627;2077;BP;Caim, Eva;828;1024;636;759;1464;1783;ÖDP;Birgelen von, Klaus;1124;930;1009;949;2133;1879;PIRATEN;Morgenstern, Christopher;467;1153;361;1008;828;2161;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Biedermann, Wilfried;4217;X;4146;X;8363;X;LKR;Reich, Dr. Peter;77;X;54;X;131;X;mut;Erdmann, Jens;372;X;317;X;689;X;Die Humanisten;-;X;X;96;X;96;X;Die PARTEI;-;X;X;243;X;243;X;Gesundheitsforschung;-;X;X;77;X;77;X;Tierschutzpartei;-;X;X;440;X;440;X;V-Partei³;Lorko, Henrietta;203;X;126;X;329;X;Sonstige 2013;-;X;616;X;486;X;1102;
103;München-Giesing;29.10.2018;11:27;123505;91976;74,5;+10,9;91946;77819;91441;76787;505;1032;91920;77829;91076;76973;844;856;183866;155648;182517;153760;1349;1888;GRÜNE;Demirel, Gülseren;CSU;Lorenz, Andreas;20234;26464;21230;27190;41464;53654;SPD;Brunn von, Florian;11544;22204;11117;26304;22661;48508;FREIE WÄHLER;Piazolo, Dr. Michael;7868;5839;5485;3143;13353;8982;GRÜNE;Demirel, Gülseren;28972;10492;29940;9658;58912;20150;FDP;Sandt, Julika;7815;4414;7586;4263;15401;8677;DIE LINKE;Cullmann-Reder, Renate;4535;2219;4932;1750;9467;3969;BP;Altmann, Johann;945;1580;763;1125;1708;2705;ÖDP;Böhm, Dr. Gwendolyn;1707;1018;1476;1181;3183;2199;PIRATEN;-;X;1965;505;1618;505;3583;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Henkel, Uli;5748;X;5604;X;11352;X;LKR;-;X;X;45;X;45;X;mut;Faust, Harald;478;X;660;X;1138;X;Die Humanisten;-;X;X;149;X;149;X;Die PARTEI;Bruckner, Gerd;672;X;562;X;1234;X;Gesundheitsforschung;-;X;X;105;X;105;X;Tierschutzpartei;Weiser, Stephanie;717;X;722;X;1439;X;V-Partei³;Lange, Henrik;206;X;195;X;401;X;Sonstige 2013;-;X;592;X;741;X;1333;
104;München-Milbertshofen;29.10.2018;11:27;109111;77890;71,4;+11,3;77833;66382;77424;65568;409;814;77821;66355;77039;65597;782;758;155654;132737;154463;131165;1191;1572;GRÜNE;Schulze, Katharina;CSU;Pickert, Tina;16128;21372;16182;20712;32310;42084;SPD;Waldmann, Ruth;10734;22152;10865;24707;21599;46859;FREIE WÄHLER;Stahl, Felix;4247;2982;4374;2357;8621;5339;GRÜNE;Schulze, Katharina;27361;8792;25795;8436;53156;17228;FDP;Keck, Andreas;6720;3577;7122;3785;13842;7362;DIE LINKE;Gürpinar, Ates;3891;1718;3979;1498;7870;3216;BP;Dorn, Hubert;632;1037;543;771;1175;1808;ÖDP;Bader, Hans Leo;1070;1537;1232;1233;2302;2770;PIRATEN;Prauß, Florian;423;1889;409;1515;832;3404;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Hastreiter, Thomas;4657;X;4672;X;9329;X;LKR;-;X;X;27;X;27;X;mut;Schweiger, Axel;297;X;449;X;746;X;Die Humanisten;-;X;X;140;X;140;X;Die PARTEI;Tresselt, Rüdiger;461;X;441;X;902;X;Gesundheitsforschung;-;X;X;91;X;91;X;Tierschutzpartei;Wittmann, Dr. Susanne;675;X;558;X;1233;X;V-Partei³;Tönsmann, Marcel;128;X;160;X;288;X;Sonstige 2013;-;X;512;X;583;X;1095;
105;München-Moosach;29.10.2018;11:27;96621;67469;69,8;+9,0;67389;58808;66978;58043;411;765;67418;58816;66722;58084;696;732;134807;117624;133700;116127;1107;1497;GRÜNE;Adjei, Benjamin;CSU;Wittmann, Mechthilde;17509;22473;17831;22864;35340;45337;SPD;Stachowitz, Diana;9997;18532;8453;19684;18450;38216;FREIE WÄHLER;Edenhofer, Lilian;4463;2716;4694;2293;9157;5009;GRÜNE;Adjei, Benjamin;17572;5698;18333;5369;35905;11067;FDP;Duin, Albert;5300;2826;5228;2902;10528;5728;DIE LINKE;Guerra, Tony;2781;1491;2940;1248;5721;2739;BP;Mannseicher, Stephan;885;1406;791;980;1676;2386;ÖDP;Kahl, Veronika;1424;1088;1216;1016;2640;2104;PIRATEN;Schiller, Arnold;362;1251;386;1061;748;2312;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Groß, Michael;5451;X;5270;X;10721;X;LKR;-;X;X;42;X;42;X;mut;Hölscher, Dietmar;265;X;341;X;606;X;Die Humanisten;-;X;X;121;X;121;X;Die PARTEI;Pschigoda, Alexander;307;X;317;X;624;X;Gesundheitsforschung;-;X;X;65;X;65;X;Tierschutzpartei;Schwarz, Bernhard;521;X;538;X;1059;X;V-Partei³;Preisinger, Susanne;141;X;156;X;297;X;Sonstige 2013;-;X;562;X;667;X;1229;
106;München-Pasing;29.10.2018;11:27;109149;81399;74,6;+8,5;81374;71726;80903;70723;471;1003;81345;71734;80420;70791;925;943;162719;143460;161323;141514;1396;1946;CSU;Schmid, Josef;CSU;Schmid, Josef;24902;29672;23468;29829;48370;59501;SPD;Ritter, Florian;10094;19193;9957;22128;20051;41321;FREIE WÄHLER;Wittmann, Karl-Heinz;4757;3905;5350;2803;10107;6708;GRÜNE;Monatzeder, Hep;22622;8001;22374;7081;44996;15082;FDP;Bezdeka, Klement;6093;3217;6100;3425;12193;6642;DIE LINKE;Killet, Julia;3138;1562;2914;1241;6052;2803;BP;Seidl, Norbert;1013;1606;904;1133;1917;2739;ÖDP;Haider, Sonja;1682;1542;1441;1233;3123;2775;PIRATEN;Puskeppelies, Nils;562;1547;475;1280;1037;2827;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Walbrunn, Markus;5806;X;5759;X;11565;X;LKR;-;X;X;39;X;39;X;mut;-;X;X;350;X;350;X;Die Humanisten;-;X;X;119;X;119;X;Die PARTEI;-;X;X;366;X;366;X;Gesundheitsforschung;-;X;X;87;X;87;X;Tierschutzpartei;-;X;X;548;X;548;X;V-Partei³;Preisinger, Maximilian;234;X;169;X;403;X;Sonstige 2013;-;X;478;X;638;X;1116;
107;München-Ramersdorf;29.10.2018;11:27;104497;72638;69,5;+8,0;72594;63280;72147;62422;447;858;72557;63270;71759;62446;798;824;145151;126550;143906;124868;1245;1682;CSU;Blume, Markus;CSU;Blume, Markus;21934;26822;21250;26326;43184;53148;SPD;Rinderspacher, Markus;10097;18411;9178;20167;19275;38578;FREIE WÄHLER;Breyer, Dr. Jörg;4976;3454;5119;2806;10095;6260;GRÜNE;Kurz, Susanne;17600;5122;18191;5248;35791;10370;FDP;Krönauer, Manfred;5106;2650;5329;2859;10435;5509;DIE LINKE;Lindenthal, Moritz;2529;1510;2734;1200;5263;2710;BP;Progl, Richard;1017;1388;953;1003;1970;2391;ÖDP;Meißner, Dr. Andreas;1362;1044;1180;1038;2542;2082;PIRATEN;Meyer, Günther;449;1359;434;1106;883;2465;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Wassill, Iris;5643;X;5651;X;11294;X;LKR;-;X;X;51;X;51;X;mut;Ziegler, Sabine;337;X;401;X;738;X;Die Humanisten;-;X;X;130;X;130;X;Die PARTEI;Burneleit, Marie;375;X;391;X;766;X;Gesundheitsforschung;-;X;X;89;X;89;X;Tierschutzpartei;Frank, Thomas;559;X;517;X;1076;X;V-Partei³;Arnold, Dr. Till;163;X;161;X;324;X;Sonstige 2013;-;X;662;X;693;X;1355;
108;München-Schwabing;29.10.2018;11:27;92199;68591;74,4;+11,7;68564;57493;68278;56890;286;603;68536;57478;67950;56901;586;577;137100;114971;136228;113791;872;1180;GRÜNE;Hierneis, Christian;CSU;Spaenle, Dr. Ludwig;14089;19191;14401;19314;28490;38505;SPD;Zacharias, Isabell;9160;16375;8175;19756;17335;36131;FREIE WÄHLER;Müller, Harald;3092;2629;3285;2058;6377;4687;GRÜNE;Hierneis, Christian;23797;8937;23844;7105;47641;16042;FDP;Heubisch, Dr. Wolfgang;8862;4876;8361;4530;17223;9406;DIE LINKE;Ripke, Martina;2909;1188;3268;1134;6177;2322;BP;Settele, Angela;429;729;393;512;822;1241;ÖDP;Prudlo, Thomas;1050;1212;1071;773;2121;1985;PIRATEN;Mayer, Thomas;420;1570;377;1339;797;2909;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Helmer, Matthias;3341;X;3394;X;6735;X;LKR;Wächter, Andre;41;X;40;X;81;X;mut;Lessenich, Dr. Stephan;402;X;375;X;777;X;Die Humanisten;-;X;X;115;X;115;X;Die PARTEI;Reindl, Lukas;447;X;339;X;786;X;Gesundheitsforschung;Schippl, Peter;77;X;64;X;141;X;Tierschutzpartei;-;X;X;308;X;308;X;V-Partei³;Hackbarth, Jürgen;162;X;140;X;302;X;Sonstige 2013;-;X;183;X;380;X;563;
109;München-Mitte;29.10.2018;11:27;88768;67234;75,7;+12,2;67199;56448;66882;55842;317;606;67188;56459;66689;55722;499;737;134387;112907;133571;111564;816;1343;GRÜNE;Hartmann, Ludwig;CSU;Theiss, Dr. Hans;10532;13861;10203;13932;20735;27793;SPD;Ott, Dr. Michael;7297;18019;7905;21564;15202;39583;FREIE WÄHLER;Schiller-Schulze, Ute;2657;2464;2691;1886;5348;4350;GRÜNE;Hartmann, Ludwig;30369;12504;28542;10334;58911;22838;FDP;Pöhlmann, Anke;6092;3301;6266;3206;12358;6507;DIE LINKE;Wolf, Brigitte;4614;1915;4877;1627;9491;3542;BP;Schmidbauer, Mario;535;844;410;581;945;1425;ÖDP;Zilker, Benjamin;1068;954;1032;851;2100;1805;PIRATEN;-;X;1636;390;1413;390;3049;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Fuchert, Bruno;2636;X;2616;X;5252;X;LKR;-;X;X;32;X;32;X;mut;Stamm, Claudia;847;X;610;X;1457;X;Die Humanisten;-;X;X;126;X;126;X;Die PARTEI;-;X;X;394;X;394;X;Gesundheitsforschung;-;X;X;61;X;61;X;Tierschutzpartei;-;X;X;380;X;380;X;V-Partei³;Rustler, Christine;235;X;154;X;389;X;Sonstige 2013;-;X;344;X;328;X;672;
110;Altötting;29.10.2018;11:27;82670;56649;68,5;+6,5;56649;51279;56044;50222;605;1057;56649;51279;55705;50392;944;887;113298;102558;111749;100614;1549;1944;CSU;Huber, Dr. Martin;CSU;Huber, Dr. Martin;23585;25066;25692;30302;49277;55368;SPD;Knoblauch, Günther;5621;10793;5147;9750;10768;20543;FREIE WÄHLER;Krichenbauer, Johann;7959;4682;5467;2489;13426;7171;GRÜNE;Kellermann, Dr. Thorsten;6087;2901;6711;2523;12798;5424;FDP;Saller, Dr. Rudolf;2099;943;1781;1067;3880;2010;DIE LINKE;Nitzsche, Patrick;1337;731;1396;733;2733;1464;BP;Stitzl, Simon;1357;1517;1367;1089;2724;2606;ÖDP;Huber, Hans;1317;1613;672;867;1989;2480;PIRATEN;Beinlich, Dorothea;304;967;226;830;530;1797;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Schwembauer, Thomas;6087;X;6002;X;12089;X;LKR;-;X;X;31;X;31;X;mut;Maier, Thomas;291;X;262;X;553;X;Die Humanisten;-;X;X;55;X;55;X;Die PARTEI;-;X;X;312;X;312;X;Gesundheitsforschung;-;X;X;97;X;97;X;Tierschutzpartei;-;X;X;372;X;372;X;V-Partei³;-;X;X;115;X;115;X;Sonstige 2013;-;X;1009;X;742;X;1751;
