Schlüsselnummer;Name der Regionaleinheit;Zahl der ausgewerteten Stimmkreise;Zahl der Stimmkreise insgesamt;Stand Tagesdatum;Stand Uhrzeit;Stimmberechtigte;Wähler;Wahlbeteiligung in %;Veränderung der Wahlbeteiligung gegenüber 2013 in %-P.;abgegebene Erststimmen insgesamt 2018;abgegebene Erststimmen insgesamt 2013;gültige Erststimmen insgesamt 2018;gültige Erststimmen insgesamt 2013;ungültige Erststimmen 2018;ungültige Erststimmen 2013;abgegebene Zweitstimmen insgesamt 2018;abgegebene Zweitstimmen insgesamt 2013;gültige Zweitstimmen insgesamt 2018;gültige Zweitstimmen insgesamt 2013;ungültige Zweitstimmen 2018;ungültige Zweitstimmen 2013;abgegebene Gesamtstimmen insgesamt 2018;abgegebene Gesamtstimmen insgesamt 2013;gültige Gesamtstimmen insgesamt 2018;gültige Gesamtstimmen insgesamt 2013;ungültige Gesamtstimmen 2018;ungültige Gesamtstimmen 2013;Parteiname;Erststimmen CSU 2018;Erststimmen CSU 2013;Zweitstimmen CSU 2018;Zweitstimmen CSU 2013;Gesamtstimmen CSU 2018;Gesamtstimmen CSU 2013;Parteiname;Erststimmen SPD 2018;Erststimmen SPD 2013;Zweitstimmen SPD 2018;Zweitstimmen SPD 2013;Gesamtstimmen SPD 2018;Gesamtstimmen SPD 2013;Parteiname;Erststimmen FREIE WÄHLER 2018;Erststimmen FREIE WÄHLER 2013;Zweitstimmen FREIE WÄHLER 2018;Zweitstimmen FREIE WÄHLER 2013;Gesamtstimmen FREIE WÄHLER 2018;Gesamtstimmen FREIE WÄHLER 2013;Parteiname;Erststimmen GRÜNE 2018;Erststimmen GRÜNE 2013;Zweitstimmen GRÜNE 2018;Zweitstimmen GRÜNE 2013;Gesamtstimmen GRÜNE 2018;Gesamtstimmen GRÜNE 2013;Parteiname;Erststimmen FDP 2018;Erststimmen FDP 2013;Zweitstimmen FDP 2018;Zweitstimmen FDP 2013;Gesamtstimmen FDP 2018;Gesamtstimmen FDP 2013;Parteiname;Erststimmen DIE LINKE 2018;Erststimmen DIE LINKE 2013;Zweitstimmen DIE LINKE 2018;Zweitstimmen DIE LINKE 2013;Gesamtstimmen DIE LINKE 2018;Gesamtstimmen DIE LINKE 2013;Parteiname;Erststimmen BP 2018;Erststimmen BP 2013;Zweitstimmen BP 2018;Zweitstimmen BP 2013;Gesamtstimmen BP 2018;Gesamtstimmen BP 2013;Parteiname;Erststimmen ÖDP 2018;Erststimmen ÖDP 2013;Zweitstimmen ÖDP 2018;Zweitstimmen ÖDP 2013;Gesamtstimmen ÖDP 2018;Gesamtstimmen ÖDP 2013;Parteiname;Erststimmen PIRATEN 2018;Erststimmen PIRATEN 2013;Zweitstimmen PIRATEN 2018;Zweitstimmen PIRATEN 2013;Gesamtstimmen PIRATEN 2018;Gesamtstimmen PIRATEN 2013;Parteiname;Erststimmen DIE FRANKEN 2018;Erststimmen DIE FRANKEN 2013;Zweitstimmen DIE FRANKEN 2018;Zweitstimmen DIE FRANKEN 2013;Gesamtstimmen DIE FRANKEN 2018;Gesamtstimmen DIE FRANKEN 2013;Parteiname;Erststimmen AfD 2018;Erststimmen AfD 2013;Zweitstimmen AfD 2018;Zweitstimmen AfD 2013;Gesamtstimmen AfD 2018;Gesamtstimmen AfD 2013;Parteiname;Erststimmen LKR 2018;Erststimmen LKR 2013;Zweitstimmen LKR 2018;Zweitstimmen LKR 2013;Gesamtstimmen LKR 2018;Gesamtstimmen LKR 2013;Parteiname;Erststimmen mut 2018;Erststimmen mut 2013;Zweitstimmen mut 2018;Zweitstimmen mut 2013;Gesamtstimmen mut 2018;Gesamtstimmen mut 2013;Parteiname;Erststimmen Die Humanisten 2018;Erststimmen Die Humanisten 2013;Zweitstimmen Die Humanisten 2018;Zweitstimmen Die Humanisten 2013;Gesamtstimmen Die Humanisten 2018;Gesamtstimmen Die Humanisten 2013;Parteiname;Erststimmen Die PARTEI 2018;Erststimmen Die PARTEI 2013;Zweitstimmen Die PARTEI 2018;Zweitstimmen Die PARTEI 2013;Gesamtstimmen Die PARTEI 2018;Gesamtstimmen Die PARTEI 2013;Parteiname;Erststimmen Gesundheitsforschung 2018;Erststimmen Gesundheitsforschung 2013;Zweitstimmen Gesundheitsforschung 2018;Zweitstimmen Gesundheitsforschung 2013;Gesamtstimmen Gesundheitsforschung 2018;Gesamtstimmen Gesundheitsforschung 2013;Parteiname;Erststimmen Tierschutzpartei 2018;Erststimmen Tierschutzpartei 2013;Zweitstimmen Tierschutzpartei 2018;Zweitstimmen Tierschutzpartei 2013;Gesamtstimmen Tierschutzpartei 2018;Gesamtstimmen Tierschutzpartei 2013;Parteiname;Erststimmen V-Partei³ 2018;Erststimmen V-Partei³ 2013;Zweitstimmen V-Partei³ 2018;Zweitstimmen V-Partei³ 2013;Gesamtstimmen V-Partei³ 2018;Gesamtstimmen V-Partei³ 2013;Parteiname;Erststimmen Sonstige 2013 2018;Erststimmen Sonstige 2013 2013;Zweitstimmen Sonstige 2013 2018;Zweitstimmen Sonstige 2013 2013;Gesamtstimmen Sonstige 2013 2018;Gesamtstimmen Sonstige 2013 2013;
100;Landeshauptstadt München;9;9;29.10.2018;11:27;910459;662203;72,7;+10,0;661869;570054;658182;562757;3687;7297;661684;569993;655115;562969;6569;7024;1323553;1140047;1313297;1125726;10256;14321;CSU;163985;206565;161173;206417;325158;412982;SPD;86395;169046;82284;192617;168679;361663;FREIE WÄHLER;40688;29354;39903;22197;80591;51551;GRÜNE;204068;71920;204538;64333;408606;136253;FDP;57541;31310;57434;31492;114975;62802;DIE LINKE;30140;14309;31363;11928;61503;26237;BP;7147;11241;6144;7889;13291;19130;ÖDP;11803;10454;10737;9285;22540;19739;PIRATEN;3168;13931;3720;11658;6888;25589;DIE FRANKEN;X;X;X;X;X;X;AfD;42652;X;42229;X;84881;X;LKR;177;X;378;X;555;X;mut;3326;X;3869;X;7195;X;Die Humanisten;X;X;1141;X;1141;X;Die PARTEI;2262;X;3470;X;5732;X;Gesundheitsforschung;77;X;723;X;800;X;Tierschutzpartei;3142;X;4606;X;7748;X;V-Partei³;1611;X;1403;X;3014;X;Sonstige 2013;X;4627;X;5153;X;9780;
500;Kreisfreie Stadt Nürnberg;1;1;29.10.2018;11:27;340137;229485;67,5;+9,2;229453;202205;227216;198405;2237;3800;229390;202241;227018;199183;2372;3058;458843;404446;454234;397588;4609;6858;CSU;75110;76654;79921;78227;155031;154881;SPD;34838;61204;31587;56959;66425;118163;FREIE WÄHLER;9663;7935;8693;7341;18356;15276;GRÜNE;47780;20117;47240;22402;95020;42519;FDP;11207;6327;10832;6545;22039;12872;DIE LINKE;15151;8174;15704;9007;30855;17181;BP;741;1577;613;1129;1354;2706;ÖDP;2771;2304;2676;2580;5447;4884;PIRATEN;2610;5886;2235;6179;4845;12065;DIE FRANKEN;2657;3956;1927;4583;4584;8539;AfD;22518;X;21608;X;44126;X;LKR;X;X;X;X;X;X;mut;452;X;713;X;1165;X;Die Humanisten;X;X;X;X;X;X;Die PARTEI;721;X;2181;X;2902;X;Gesundheitsforschung;X;X;258;X;258;X;Tierschutzpartei;X;X;X;X;X;X;V-Partei³;997;X;830;X;1827;X;Sonstige 2013;X;4271;X;4231;X;8502;
700;Kreisfreie Stadt Augsburg;1;1;29.10.2018;11:27;188369;121711;64,6;+9,4;121701;102910;120843;101576;858;1334;121680;102891;120060;100934;1620;1957;243381;205801;240903;202510;2478;3291;CSU;37433;41052;36876;41922;74309;82974;SPD;12920;26509;13236;25985;26156;52494;FREIE WÄHLER;9040;5751;8877;5747;17917;11498;GRÜNE;29518;11902;28902;11502;58420;23404;FDP;6612;3613;6471;3469;13083;7082;DIE LINKE;6616;4097;6150;3779;12766;7876;BP;1382;2037;1240;1638;2622;3675;ÖDP;1383;1670;1308;1659;2691;3329;PIRATEN;X;2987;698;2904;698;5891;DIE FRANKEN;X;X;X;X;X;X;AfD;13719;X;13307;X;27026;X;LKR;X;X;58;X;58;X;mut;489;X;423;X;912;X;Die Humanisten;X;X;X;X;X;X;Die PARTEI;907;X;1672;X;2579;X;Gesundheitsforschung;X;X;X;X;X;X;Tierschutzpartei;X;X;X;X;X;X;V-Partei³;824;X;842;X;1666;X;Sonstige 2013;X;1958;X;2329;X;4287;
901;Oberbayern;31;31;29.10.2018;11:27;3203709;2391331;74,6;+8,8;2390955;2086414;2372782;2055188;18173;31226;2390743;2086352;2361489;2055967;29254;30385;4781698;4172766;4734271;4111155;47427;61611;CSU;786122;938406;809899;1000018;1596021;1938424;SPD;226257;414055;217163;494784;443420;908839;FREIE WÄHLER;263943;177042;230719;116407;494662;293449;GRÜNE;525733;223783;529190;184936;1054923;408719;FDP;155344;81311;147462;80577;302806;161888;DIE LINKE;74676;40288;75002;33708;149678;73996;BP;54356;65693;49483;47285;103839;112978;ÖDP;42128;47847;37256;39537;79384;87384;PIRATEN;9656;44130;11341;35936;20997;80066;DIE FRANKEN;X;X;X;X;X;X;AfD;204472;X;200944;X;405416;X;LKR;313;X;1209;X;1522;X;mut;9521;X;11400;X;20921;X;Die Humanisten;159;X;3234;X;3393;X;Die PARTEI;8766;X;10851;X;19617;X;Gesundheitsforschung;77;X;3074;X;3151;X;Tierschutzpartei;6907;X;17939;X;24846;X;V-Partei³;4352;X;5323;X;9675;X;Sonstige 2013;X;22633;X;22779;X;45412;
902;Niederbayern;9;9;29.10.2018;11:27;935525;651238;69,6;+9,9;651223;555412;643750;549376;7473;6036;651227;555409;644766;545410;6461;9999;1302450;1110821;1288516;1094786;13934;16035;CSU;253058;279890;237698;272331;490756;552221;SPD;41662;81531;39929;71524;81591;153055;FREIE WÄHLER;105039;72643;124976;84981;230015;157624;GRÜNE;68984;30324;67517;33882;136501;64206;FDP;30747;19203;29892;20086;60639;39289;DIE LINKE;14846;9831;14344;9692;29190;19523;BP;21296;18690;17653;16456;38949;35146;ÖDP;16762;17953;16127;16135;32889;34088;PIRATEN;238;7753;2203;8789;2441;16542;DIE FRANKEN;X;X;X;X;X;X;AfD;87823;X;85053;X;172876;X;LKR;X;X;X;X;X;X;mut;1973;X;2915;X;4888;X;Die Humanisten;X;X;X;X;X;X;Die PARTEI;X;X;X;X;X;X;Gesundheitsforschung;X;X;X;X;X;X;Tierschutzpartei;1010;X;5334;X;6344;X;V-Partei³;312;X;1125;X;1437;X;Sonstige 2013;X;11558;X;11534;X;23092;
903;Oberpfalz;8;8;29.10.2018;11:27;851366;620400;72,9;+9,1;620353;541473;613976;533229;6377;8244;620363;541489;613606;531378;6757;10111;1240716;1082962;1227582;1064607;13134;18355;CSU;246445;258785;242743;271932;489188;530717;SPD;60025;107258;57748;100857;117773;208115;FREIE WÄHLER;88597;70740;84111;61449;172708;132189;GRÜNE;74161;29248;78043;31276;152204;60524;FDP;22407;9654;21517;10175;43924;19829;DIE LINKE;18802;10421;17451;9850;36253;20271;BP;12722;12145;12947;11522;25669;23667;ÖDP;11700;15344;10829;13799;22529;29143;PIRATEN;1393;9992;2815;10495;4208;20487;DIE FRANKEN;X;X;X;X;X;X;AfD;75030;X;76266;X;151296;X;LKR;X;X;X;X;X;X;mut;991;X;2608;X;3599;X;Die Humanisten;X;X;X;X;X;X;Die PARTEI;906;X;3948;X;4854;X;Gesundheitsforschung;299;X;1072;X;1371;X;Tierschutzpartei;X;X;X;X;X;X;V-Partei³;498;X;1508;X;2006;X;Sonstige 2013;X;9642;X;10023;X;19665;
904;Oberfranken;8;8;29.10.2018;11:27;839098;594612;70,9;+7,8;594604;535812;590636;530356;3968;5456;594599;535808;586207;524204;8392;11604;1189203;1071620;1176843;1054560;12360;17060;CSU;230338;235840;240455;248543;470793;484383;SPD;87923;127670;72394;117639;160317;245309;FREIE WÄHLER;69190;55078;60522;43011;129712;98089;GRÜNE;75981;36083;78835;39123;154816;75206;FDP;25119;14739;24901;14322;50020;29061;DIE LINKE;16830;11262;17322;11093;34152;22355;BP;6169;4319;5246;4578;11415;8897;ÖDP;6405;5639;4946;4945;11351;10584;PIRATEN;962;10254;3866;10807;4828;21061;DIE FRANKEN;X;16645;X;13560;X;30205;AfD;66682;X;65557;X;132239;X;LKR;X;X;X;X;X;X;mut;1607;X;2704;X;4311;X;Die Humanisten;X;X;X;X;X;X;Die PARTEI;2546;X;5998;X;8544;X;Gesundheitsforschung;386;X;1475;X;1861;X;Tierschutzpartei;X;X;X;X;X;X;V-Partei³;498;X;1986;X;2484;X;Sonstige 2013;X;12827;X;16583;X;29410;
905;Mittelfranken;12;12;29.10.2018;11:27;1274988;910945;71,4;+8,2;910765;807866;904006;795899;6759;11967;910708;807784;902065;795181;8643;12603;1821473;1615650;1806071;1591080;15402;24570;CSU;325289;333117;355651;352039;680940;685156;SPD;115084;203703;100545;188013;215629;391716;FREIE WÄHLER;84722;64086;71037;55367;155759;119453;GRÜNE;168199;76798;167007;80384;335206;157182;FDP;38012;22599;36943;24397;74955;46996;DIE LINKE;41990;23342;42899;25594;84889;48936;BP;4927;6559;3514;5431;8441;11990;ÖDP;12053;12069;11146;12330;23199;24399;PIRATEN;8966;18970;7382;19033;16348;38003;DIE FRANKEN;11282;19327;8422;17535;19704;36862;AfD;87767;X;84058;X;171825;X;LKR;X;X;X;X;X;X;mut;1028;X;2577;X;3605;X;Die Humanisten;X;X;X;X;X;X;Die PARTEI;1305;X;7091;X;8396;X;Gesundheitsforschung;244;X;1123;X;1367;X;Tierschutzpartei;X;X;X;X;X;X;V-Partei³;3138;X;2670;X;5808;X;Sonstige 2013;X;15329;X;15058;X;30387;
906;Unterfranken;10;10;29.10.2018;11:27;1013948;729411;71,9;+7,8;729408;656485;723538;648060;5870;8425;729376;656463;720353;643244;9023;13219;1458784;1312948;1443891;1291304;14893;21644;CSU;288673;310872;309453;336571;598126;647443;SPD;76243;134209;69713;118192;145956;252401;FREIE WÄHLER;74378;57958;58092;47366;132470;105324;GRÜNE;120006;57817;115176;57180;235182;114997;FDP;36148;20042;33692;17599;69840;37641;DIE LINKE;25617;15473;24358;14665;49975;30138;BP;6872;8396;6209;6322;13081;14718;ÖDP;6842;9241;6343;8624;13185;17865;PIRATEN;876;13972;3492;13371;4368;27343;DIE FRANKEN;5793;8349;5956;11868;11749;20217;AfD;71308;X;70524;X;141832;X;LKR;X;X;X;X;X;X;mut;2062;X;3528;X;5590;X;Die Humanisten;X;X;X;X;X;X;Die PARTEI;3493;X;5627;X;9120;X;Gesundheitsforschung;X;X;X;X;X;X;Tierschutzpartei;3699;X;6008;X;9707;X;V-Partei³;1528;X;2182;X;3710;X;Sonstige 2013;X;11731;X;11486;X;23217;
907;Schwaben;13;13;29.10.2018;11:27;1360794;954099;70,1;+9,0;954072;821337;947561;811869;6511;9468;954016;821265;940012;802431;14004;18834;1908088;1642602;1887573;1614300;20515;28302;CSU;365261;397346;354996;400735;720257;798081;SPD;72986;140018;71406;137948;144392;277966;FREIE WÄHLER;123797;83154;133669;73271;257466;156425;GRÜNE;163511;68264;160013;70275;323524;138539;FDP;46023;28372;42292;26962;88315;55334;DIE LINKE;27270;17472;26481;18406;53751;35878;BP;15924;21521;14413;18583;30337;40104;ÖDP;15322;19268;14092;16694;29414;35962;PIRATEN;1809;16195;4146;14709;5955;30904;DIE FRANKEN;X;X;X;X;X;X;AfD;108302;X;104836;X;213138;X;LKR;61;X;433;X;494;X;mut;810;X;1766;X;2576;X;Die Humanisten;X;X;X;X;X;X;Die PARTEI;1545;X;7020;X;8565;X;Gesundheitsforschung;X;X;X;X;X;X;Tierschutzpartei;X;X;X;X;X;X;V-Partei³;4940;X;4449;X;9389;X;Sonstige 2013;X;20259;X;24848;X;45107;
990;Bayern;91;91;29.10.2018;11:27;9479428;6852036;72,3;+8,7;6851380;6004799;6796249;5923977;55131;80822;6851032;6004570;6768498;5897815;82534;106755;13702412;12009369;13564747;11821792;137665;187577;CSU;2495186;2754256;2550895;2882169;5046081;5636425;SPD;680180;1208444;628898;1228957;1309078;2437401;FREIE WÄHLER;809666;580701;763126;481852;1572792;1062553;GRÜNE;1196575;522317;1195781;497056;2392356;1019373;FDP;353800;195920;336699;194118;690499;390038;DIE LINKE;220031;128089;217857;123008;437888;251097;BP;122266;137323;109465;110177;231731;247500;ÖDP;111212;127361;100739;112064;211951;239425;PIRATEN;23900;121266;35245;113140;59145;234406;DIE FRANKEN;17075;44321;14378;42963;31453;87284;AfD;701384;X;687238;X;1388622;X;LKR;374;X;1642;X;2016;X;mut;17992;X;27498;X;45490;X;Die Humanisten;159;X;3234;X;3393;X;Die PARTEI;18561;X;40535;X;59096;X;Gesundheitsforschung;1006;X;6744;X;7750;X;Tierschutzpartei;11616;X;29281;X;40897;X;V-Partei³;15266;X;19243;X;34509;X;Sonstige 2013;X;103979;X;112311;X;216290;
